[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3667720562.15234,03/21/2016,11:16 am
BYAPP,VSM,1.0,1.0
INFO,DYNACOOL VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 J0,MOTOR_HW_VERSION
INFO,MMC690,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM542,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,512,PREAMP_SERIAL_NUMBER
INFO,LB692,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,System Temp. (K),Temp. Status (code),Field Status (code),Chamber Status (code),Motor Current (amps),Motor Heatsink Temp. (C),Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3667721599.2525,300.023010253906,-4095.47802734375,0.000420202526947664,3.67588423866167E-6,1,0.499626677034896,40.0298881530762,1.00217927940525,13.9300003647804,0.00116357297422386,0.000202120666254295,0.25,-3.65766359290201E-6,0.000420138172008225,-1.97377973719452E-6,300.02294921875,300.02294921875,-4105.46923828125,-4085.48681640625,56.9924434797176,19.8978879971587,37.9524841308594,0,0,0,20,299.862701416016,1,6,1,1.099853515625,37.1456527709961,,,,,,,,,,,,,,,,
,3667721600.7155,300.022079467773,-4035.62048339844,0.000408688599952997,3.67091070563081E-6,1,0.499626677034896,40.0298881530762,1.0021958451519,13.9300003647804,0.00113112089860405,0.000199803163904389,0.25,-2.39367433104157E-6,0.000408621359590095,-7.56131961405478E-7,300.021057128906,300.021057128906,-4045.64575195313,-4025.59521484375,56.8877052581406,19.89886251535,37.9541282653809,0,0,0,20,299.863342285156,1,6,1,1.10076904296875,37.6344108581543,,,,,,,,,,,,,,,,
,3667721601.723,300.021850585937,-3995.66125488281,0.000400975098324255,4.25070340156459E-6,1,0.499626677034896,40.0298881530762,1.00219746719633,13.9300003647804,0.00111051039723196,0.000192002412505609,0.25,-3.80616176643199E-6,0.000400914968769825,-2.19924320368387E-6,300.021850585937,300.021850585937,-4005.67822265625,-3985.64428710937,56.8142321773329,19.8981675745577,37.9463882446289,0,0,0,20,299.863983154297,1,6,1,1.10000610351562,37.6344108581543,,,,,,,,,,,,,,,,
,3667721603.2205,300.02197265625,-3935.78234863281,0.000391095221175976,5.51553831939076E-6,1,0.499626677034896,40.0298881530762,1.00216507887143,13.9300003647804,0.00108266089025541,0.000189739999698643,0.25,-2.81734125352126E-6,0.00039103298523247,-1.25017483747277E-6,300.022583007812,300.022583007812,-3945.75708007812,-3925.8076171875,56.811105663256,19.897417178865,37.9499053955078,0,0,0,20,299.865203857422,1,6,1,1.10015869140625,37.6344108581543,,,,,,,,,,,,,,,,
,3667721604.2285,300.022430419922,-3895.74670410156,0.000388597312438687,5.34697552038567E-6,1,0.499626677034896,40.0298881530762,1.00220386243579,13.9300003647804,0.00107751518399179,0.000179078058332966,0.25,-6.22004182728336E-6,0.000388549169445104,-4.66223740632387E-6,300.022430419922,300.022430419922,-3905.77856445313,-3885.71484375,56.8798889729483,19.8974155456887,37.9541282653809,0,0,0,20,299.863067626953,1,6,1,1.10885620117188,37.6344108581543,,,,,,,,,,,,,,,,
,3667721605.723,300.021926879883,-3835.76196289063,0.000375431951922406,4.77783437543458E-6,1,0.499626677034896,40.0298881530762,1.00216421255676,13.9300003647804,0.00103956996773972,0.000180661324832891,0.25,-3.23966757335913E-6,0.000375374351411782,-1.73514778396571E-6,300.021423339844,300.021423339844,-3845.74560546875,-3825.7783203125,56.7759323798906,19.8974405416785,37.9703102111816,0,0,0,20,299.862487792969,1,6,1,1.10031127929688,37.6344108581543,,,,,,,,,,,,,,,,
,3667721606.743,300.022735595703,-3795.83679199219,0.000371587135829546,4.29124985894978E-6,1,0.499626677034896,40.0298881530762,1.00216271327245,13.9300003647804,0.00102890543298586,0.000178902220385232,0.25,-3.17345734388303E-6,0.000371529981355177,-1.68434958177889E-6,300.022735595703,300.022735595703,-3805.84130859375,-3785.83227539063,56.8486238321791,19.8983051049237,37.9590530395508,0,0,0,20,299.865112304687,1,6,1,1.10855102539062,37.1456527709961,,,,,,,,,,,,,,,,
,3667721608.482,300.022476196289,-3725.86145019531,0.00035503465124299,3.78970829120061E-6,1,0.499626677034896,40.0298881530762,1.00217260886296,13.9300003647804,0.000981851363559096,0.00017767170606775,0.25,-5.95256714232496E-7,0.0003549702835152,8.27072740789962E-7,300.022827148438,300.022827148438,-3745.8037109375,-3705.91918945313,56.8986480574099,19.8972849177456,37.957878112793,0,0,0,20,299.863342285156,1,6,1,1.1083984375,37.6344108581543,,,,,,,,,,,,,,,,
,3667721609.2285,300.022125244141,-3695.88220214844,0.000353891578625887,4.71311000447789E-6,1,0.499626677034896,40.0298881530762,1.00217072522164,13.9300003647804,0.000981392795540762,0.000162295784224829,0.25,-5.94792119818317E-6,0.000353848871991531,-4.52915763064506E-6,300.022125244141,300.022125244141,-3705.91918945313,-3685.84521484375,56.8501870892175,19.8992301509586,37.9628028869629,0,0,0,20,299.863403320313,1,6,1,1.1102294921875,37.6344108581543,,,,,,,,,,,,,,,,
,3667721610.7565,300.022567749023,-3636.08276367188,0.000349219870911211,4.36497258097617E-6,1,0.499626677034896,40.0298881530762,1.00216840422333,13.9300003647804,0.000968400821210255,0.000160341236231961,0.25,-5.80130572692011E-6,0.000349177448876916,-4.40127694699144E-6,300.022064208984,300.022064208984,-3646.02563476562,-3626.13989257812,56.7212183835445,19.8972215258155,37.9644470214844,0,0,0,20,299.865020751953,1,6,1,1.1102294921875,37.6344108581543,,,,,,,,,,,,,,,,
,3667721611.7265,300.021606445313,-3596.22631835937,0.000336058855178961,4.59326351524401E-6,1,0.499626677034896,40.0298881530762,1.00215758305265,13.9300003647804,0.000931502198816063,0.000156445831001929,0.25,-4.80535652564456E-6,0.000336014929384922,-3.45822562838507E-6,300.021606445313,300.021606445313,-3606.18872070313,-3586.26391601562,56.8673829166406,19.8964433911711,37.9670257568359,0,0,0,20,299.864654541016,1,6,1,1.10000610351562,37.6344108581543,,,,,,,,,,,,,,,,
,3667721613.206,300.022033691406,-3536.26232910156,0.000331833283405917,3.99639503158946E-6,1,0.499626677034896,40.0298881530762,1.00217957258038,13.9300003647804,0.000921288683737876,0.000146386239734329,0.25,-7.67324695152014E-6,0.00033180163470797,-6.34249746160321E-6,300.022155761719,300.022155761719,-3546.18920898438,-3526.33544921875,56.8275198621599,19.8991557780887,37.9771118164063,0,0,0,20,299.864471435547,1,6,1,1.10870361328125,37.6344108581543,,,,,,,,,,,,,,,,
,3667721614.2305,300.021484375,-3496.25622558594,0.000319800767119637,4.79454691199098E-6,1,0.499626677034896,40.0298881530762,1.00215495690293,13.9300003647804,0.000885098229770438,0.000156194175431527,0.25,-1.92609480016632E-6,0.000319748363736159,-6.44618965084262E-7,300.021911621094,300.021911621094,-3506.26513671875,-3486.24731445313,56.8283014906791,19.8983315249913,37.974063873291,0,0,0,20,299.864288330078,1,6,1,1.10015869140625,37.6344108581543,,,,,,,,,,,,,,,,
,3667721615.709,300.021240234375,-3436.2529296875,0.000310668055732828,4.68084564313847E-6,1,0.499626677034896,40.0298881530762,1.00216477257924,13.9300003647804,0.00086036397179711,0.000148814641214131,0.25,-2.92747615831505E-6,0.000310621382780518,-1.68238798161994E-6,300.021911621094,300.021911621094,-3446.28173828125,-3426.22412109375,56.8220484625252,19.8964776397127,37.9714813232422,0,0,0,20,299.865905761719,1,6,1,1.1004638671875,37.1456527709961,,,,,,,,,,,,,,,,
,3667721616.7155,300.021041870117,-3396.203125,0.000306999724816803,3.81849010303212E-6,1,0.499626677034896,40.0298881530762,1.0022023504209,13.9300003647804,0.000852813972356984,0.000132955270220264,0.25,-7.99562403118018E-6,0.000306974046344711,-6.76427208657366E-6,300.020568847656,300.020568847656,-3406.18017578125,-3386.22607421875,56.7751507513714,19.8983781845495,37.9703102111816,0,0,0,20,299.864532470703,1,6,1,1.10000610351562,37.6344108581543,,,,,,,,,,,,,,,,
,3667721618.2135,300.021743774414,-3336.244140625,0.000298223031369632,5.51231592769663E-6,1,0.499626677034896,40.0298881530762,1.00216078085632,13.9300003647804,0.000828479173256399,0.000128709799332044,0.25,-7.92588141066561E-6,0.000298198715106822,-6.72969743784413E-6,300.021667480469,300.021667480469,-3346.28955078125,-3326.19873046875,56.861911517006,19.8974191405044,37.9681968688965,0,0,0,20,299.865509033203,1,6,1,1.10870361328125,37.1456527709961,,,,,,,,,,,,,,,,
,3667721619.218,300.021102905273,-3296.29809570313,0.000292474865169663,4.70773808561282E-6,1,0.499626677034896,40.0298881530762,1.00216707131556,13.9300003647804,0.000811699093363366,0.000130698968442855,0.25,-6.15655838557271E-6,0.000292444548110964,-4.98372642570671E-6,300.021820068359,300.021820068359,-3306.287109375,-3286.30908203125,56.7079306987175,19.8979521745513,37.9691352844238,0,0,0,20,299.864532470703,1,6,1,1.10198974609375,36.6568908691406,,,,,,,,,,,,,,,,
