Q,R_pp,dR_pp,theory_pp,R_mm,dR_mm,theory_mm,Asymmetry,dAsymmetry,Asymmetry_theory
0.08397903002,0.0001104330198,1.490763819e-05,0.0001006859976,9.739486088e-05,1.490252326e-05,0.0001187530699,0.06273536947,0.101622335,-0.08233297966
0.08497356367,0.0001144249216,1.483196562e-05,0.0001029537829,0.0001535009339,1.746806492e-05,0.0001604396235,-0.1458463657,0.08440897599,-0.2182508719
0.08597961592,9.304441541e-05,1.354043375e-05,8.878161687e-05,0.0001912297547,1.896783231e-05,0.000196133996,-0.3453895908,0.07755262928,-0.3767865791
0.08697873913,6.284881245e-05,1.14632288e-05,6.479154755e-05,0.000169311534,1.756439398e-05,0.0002166493177,-0.4585740984,0.08285320049,-0.539572567
0.08797786981,2.739201804e-05,8.808593613e-06,3.949223976e-05,0.0001695906766,1.716682866e-05,0.0002167918141,-0.7218840153,0.08072316454,-0.6918088414
0.0889746461,2.766833952e-05,8.80587782e-06,2.213787532e-05,0.0001792708261,1.725609271e-05,0.0001981078443,-0.7325944615,0.07702524987,-0.7989711187
0.08997835888,1.475846589e-05,7.91246497e-06,1.652621399e-05,0.0001328583452,1.515446155e-05,0.0001647766885,-0.8000435617,0.09864434491,-0.8176949871
0.09097973964,3.560935914e-05,9.683574895e-06,2.22996238e-05,0.0001261967372,1.482262855e-05,0.0001254925299,-0.5598514525,0.101687681,-0.6982299366
0.09197417646,3.076688661e-05,8.812440993e-06,3.346416629e-05,8.318688914e-05,1.233389366e-05,8.824629115e-05,-0.460011107,0.1271381665,-0.4501020373
0.09297783711,4.903802923e-05,9.59605852e-06,4.360843605e-05,5.830008803e-05,1.061647844e-05,5.973480212e-05,-0.08628862736,0.1326589212,-0.1560466496
0.09397687094,4.765039452e-05,9.203984964e-06,4.675225564e-05,3.59767149e-05,9.001577653e-06,4.431255718e-05,0.1395920497,0.1549649022,0.02679079209
0.09497589733,5.42956176e-05,9.421875641e-06,4.15749983e-05,4.001912614e-05,9.149211864e-06,4.303618388e-05,0.1513707284,0.1402212811,-0.01726941448
0.09597720361,3.19430875e-05,7.906217491e-06,3.020845835e-05,6.271671521e-05,1.045893639e-05,5.381892522e-05,-0.3250971039,0.1334529588,-0.2809853868
0.09697850989,1.873421544e-05,6.721937655e-06,1.819031808e-05,6.882639819e-05,1.038216631e-05,7.243520606e-05,-0.5720857892,0.1309191469,-0.5985608194
0.09797979382,1.660248336e-05,6.470368395e-06,1.099583846e-05,8.50865099e-05,1.089370178e-05,9.320824945e-05,-0.6734654788,0.1120796547,-0.7889557179
0.09897645094,8.453319231e-06,5.84164369e-06,1.23399589e-05,7.899992179e-05,1.038371799e-05,0.0001104202725,-0.8066779657,0.1228448493,-0.7989583638
0.09997770508,2.534196554e-05,7.281282017e-06,2.221590323e-05,0.0001010451347,1.128040788e-05,0.0001196340116,-0.5989786061,0.09882783929,-0.6867688886
0.1009789667,3.168052305e-05,7.888065667e-06,3.73399326e-05,0.0001305916392,1.243312163e-05,0.00011828623,-0.6095384123,0.08376444087,-0.5201329649
0.1019778739,4.303750522e-05,8.261848762e-06,5.225563979e-05,9.857602229e-05,1.086981237e-05,0.0001064330471,-0.3921836991,0.0936668343,-0.3414068663
0.1029767811,5.649253166e-05,8.80134656e-06,6.17727692e-05,7.914919402e-05,9.8299322e-06,8.664027074e-05,-0.1670331327,0.09684109175,-0.1675560419
0.1039779756,6.831645507e-05,9.290145987e-06,6.269846093e-05,7.494133534e-05,9.553477373e-06,6.304732363e-05,-0.04624446774,0.09299866562,-0.002774349043
0.1049745583,4.235468889e-05,7.972675775e-06,5.495466179e-05,3.521558629e-05,7.527589905e-06,4.065014058e-05,0.09203399864,0.1412059657,0.1496213668
0.1059780327,2.692800092e-05,7.237863504e-06,4.125556547e-05,1.271451495e-05,6.314970766e-06,2.327662569e-05,0.3585414714,0.246070669,0.2786042044
0.1069791975,2.102509648e-05,6.492012379e-06,2.613009322e-05,7.701167684e-06,5.630912661e-06,1.343194346e-05,0.4638239321,0.3114748605,0.32096805
0.1079734108,1.223133879e-05,5.604828852e-06,1.402671149e-05,1.316897298e-06,4.925771126e-06,1.112249273e-05,0.8055987082,0.6613745959,0.115479549
0.1089768406,7.797025533e-06,5.086874941e-06,7.486746963e-06,1.957734435e-05,6.159791567e-06,1.434288155e-05,-0.4303411865,0.2950902617,-0.3140747257
0.1099756435,1.727719272e-05,5.699042546e-06,7.097725809e-06,1.242048265e-05,5.733865007e-06,2.003486647e-05,0.1635383918,0.2761044956,-0.4768118183
0.1109790435,1.815029294e-05,5.79943264e-06,1.104998795e-05,7.844578714e-06,5.599143193e-06,2.50543571e-05,0.3964518218,0.3295512964,-0.3878859769
0.1119754995,2.198742834e-05,5.861516169e-06,1.643017449e-05,2.275047147e-05,6.16191755e-06,2.733372992e-05,-0.01705585486,0.1899618884,-0.2491449422
0.1129788771,1.288395961e-05,5.197466324e-06,2.040505937e-05,2.061136644e-05,5.764536053e-06,2.631284431e-05,-0.2307010484,0.2323734475,-0.1264565503
0.113977613,2.069787275e-05,5.725710062e-06,2.130654598e-05,2.482874418e-05,5.851903973e-06,2.304706385e-05,-0.0907353042,0.1802151617,-0.03924185361
0.1149740392,1.936192964e-05,5.763859699e-06,1.901445774e-05,1.802698126e-05,5.37035062e-06,1.928029627e-05,0.03570439326,0.2103067753,-0.006941904755
0.1159773423,4.923789416e-06,5.111657076e-06,1.482982719e-05,2.280145221e-05,5.694692335e-06,1.681668324e-05,-0.6448154009,0.3119038335,-0.0627827849
0.1169760186,5.876532703e-06,4.757371362e-06,1.061244974e-05,1.674798793e-05,5.04700633e-06,1.652080871e-05,-0.4805164894,0.3321847214,-0.2177533884
0.1179793217,1.825198557e-06,4.135283595e-06,7.999696694e-06,2.610934213e-05,5.414802955e-06,1.816287739e-05,-0.869323174,0.2778817417,-0.3884625672
0.1189756735,1.265077902e-05,4.676907289e-06,7.631400612e-06,2.950089852e-05,5.48525378e-06,2.037167985e-05,-0.3997496773,0.1738447896,-0.4549599197
0.119978917,1.586217765e-05,4.776192069e-06,9.120573305e-06,2.492612142e-05,5.175373125e-06,2.161104031e-05,-0.2222192142,0.1738451414,-0.4064370703
0.1209775263,7.868671128e-06,4.254374422e-06,1.119164028e-05,2.526003149e-05,5.221933955e-06,2.069683064e-05,-0.5249635207,0.2096619382,-0.2980760784
0.1219738333,1.184325794e-05,4.353581671e-06,1.251343175e-05,3.097183751e-05,5.369494411e-06,1.768313603e-05,-0.4467718537,0.1626525143,-0.171201718
0.1229770321,1.170772119e-05,4.265780507e-06,1.215462227e-05,2.517641141e-05,4.948380875e-06,1.376156792e-05,-0.3651621789,0.1793930228,-0.06200547359
